id,artist_genres,selected_genre,pop,rap,hip hop,dance,trap,rock,dance pop,latin,pop rap,reggaeton,country,house,contemporary,indie,latino,trap latino,post,alternative,edm,modern,teen,teen pop
10iesoGb4mCYTcur1QfdO9,francoton; rap marseille,rap,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0DlHQxrVijRqVUfuS6PKaY,funk carioca; funk das antigas; sertanejo pop; brazilian hip hop; funk carioca; trap brasileiro; funk carioca; funk pop; pagode baiano; pop nacional,trap,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2QtM6ZVLx13TBOO1iwmXYy,other,other,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27hFQQS3cVUmIK3ser5bpu,acoustic cover; viral pop,pop,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1YcqYmviKagJ68DOmjSWQW,czsk hip hop; czsk hip hop; slovak hip hop,hip hop,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1RvL7eHoeUolnQbWm2Hnba,colombian pop; latin; latin pop; reggaeton; reggaeton colombiano; trap latino,trap latino,1,1,0,0,1,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0
6ArSQdZWckNt208EzsgUM5,melodic rap; rap; trap,trap,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1wRQqmZwiF4thdQ8N7FiNv,contemporary r&b; neo soul; quiet storm; r&b; urban contemporary,contemporary,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
3T6Ee9B0GmoudhIPaHN8G1,turkish pop,pop,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3CgFFlhanq6n5yTlEoVesJ,latin; panamanian pop; reggaeton; trap latino; latin; reggaeton; reggaeton flow; trap argentino; trap latino,trap latino,1,1,0,0,1,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0
5rgrBsAFYMun6yhtnLKRPz,kentucky hip hop; pop; pop rap; r&b; rap,pop rap,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
6Xo0gpBZXA5p0W4SlADslW,japanese teen pop,teen pop,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
4gChz67rTHfVzKCZAHsifM,latin; reggaeton; trap latino; latin; panamanian pop; reggaeton; trap latino; reggaeton; trap latino; latin; reggaeton; trap latino,trap latino,1,1,0,0,1,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0
